UQID,Category,Name,Formulation,Expiry
1,A,TAB – ORGLIMP ,Glimepiride 1mg,
2,A,TAB – ORGLIMP -2,Glimepiride 2mg,
3,A,TAB – ORGLIMP M,Glimepiride 2mg +  Metformin HCI 500mg,
4,A,TAB  METFORMIN   500mg,,
5,A,TAB GLYCOMET 250 mg,Metformin    250mg,
6,A,TAB – GLIMISIL M1,Glimepiride 1mg +  Metformin 500mg SR,
7,A,TAB – GLIMISIL M2,Glimepiride 2mg +  Metformin 500mg SR,
8,A,TAB.R-BEN,Glibenclamide 5mg,Aug-22
9,A,TAB . GLYCITROL - M,Gliclazide 2mg +  Metformin 500mg SR,Aug-22
11,B,TAB ORMIPRO 2.5,Rampril 2. 5mg,
12,B,TAB ORMIPRO 5,Rampril 5mg,
13,B,TAB- AMLOBID,Amlodipine 5mg+ Atenolol 50mg ,
14,B,TAB Telmisartan  20 mg       ,,
15,B,TAB Telmisartan 40 mg,,
16,B,TAB Telmisartan 40mg + Hydrochlorthiazide 12.5mg,,
17,B,TAB ECOSPIRIN 75,Asprin ,
18,B,TAB ECOSPIRIN 150 MG,Asprin ,
19,B,TAB CLOPIDEGRAL,Clopidogrel Tablets IP 75 mg,Oct-22
20,B,TAB AMLODIPINE 5MG,,
21,C,TAB ATORVASTIN 10 mg,,
22,C,TAB ATORVASTIN 20 mg,,
26,D,TAB MECO - PG,Pregabalin 75 + Methylcobalamine 1500mg,
27,D,TAB NEUROSAN - PGN,Pregabalin 75mg SR + Methylcobalamine 1500mg+Nortryptilin 10mg,
31,E,FUCID CREAM,Fusidic acid 2%,
32,E,LULIZ CREAM,Luliconazole 1%,
34,E,TAB FLUCASIL - 150,Fluconazole 150 mg,
35,E,TAB ALERGID L,LevoCetrizine 5mg ,
36,E,TAB ALERGID ML,Montelukast 10mg + Levocetrizine hydrochloride 5mg,
37,E,LIQUID PARAFFIN BOTTLES,Liquid Petrolatum+ Mineral Oil,
38,E,TAB TACOZ 100,Itraconazole 100 mg,Aug-22
41,F,VOMEEZ 4 HD,Ondansetron HCL 4 mg(Mouth Dissolve),Apr-23
42,F,TAB METRONIDAZOLE,,
43,F,TAB ZYBEND 400 mg ,  Albendazole 400mg,
44,F,TAB RAPRA 20,Rabeprozole 20mg,
46,F,TAB ACINOK - 40,Pantoprazole 40mg,
47,F,TAB PROZOSIL - DP,Pantoprazole 20mg + Domperidone 10mg,
48,F,TAB NILCID,Omeprazole 20mg,
49,F,CAP – NILICID – D 30 mg,Domperidone 30 mg(SR)+ Omeprazole 20 mg,
51,F,TAB .SODOCEL,Sodium Bicarbonate,Sep-22
52,F,SYRUP SANLAX,"Milk of Magnesia 1.25 ml, Liquid Paraffin 3.75 ml, Sod, PicoSulphate 3.33 ml",Oct-22
53,F,SYRUP A2 MPS,Simenthicone 50 mg + Dried Aluminium Hydroxide gel 253 mg + Magnesium Hydroxide 250 ml,
54,F,TAB IVERWAR 12MG,Ivermectin 12mg,
55,F,SYRUP ALKASIL,Disodium Hydrogen Citrate 1.37gm Syrup,
